
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0034                          R13                               36   1      1   1   1 1           1 0 USB_DM              (692-10-13)
00-0034                          R13                               36   1      2   1   1 2           2 0 XSIG020494          (692-26-13)
00-0034                          R14                               35   1      1   1   1 1           1 0 USB_DP              (692-11-13)
00-0034                          R14                               35   1      2   1   1 2           2 0 XSIG020495          (692-27-13)
00-0078                          R16                               39   1      1   1   1 1           1 0 USB_ENABLE          (692-31-13)
00-0078                          R16                               39   1      2   1   1 2           2 0 XSIG020495          (692-27-13)
00-0098                          R1                                14   1      1   1   1 1           1 0 XSIG020508          (692-32-13)
00-0098                          R1                                14   1      2   1   1 2           2 0 GND                 (2-5-13)
00-0098                          R2                                15   1      1   1   1 1           1 0 XSIG020274          (71-11-13)
00-0098                          R2                                15   1      2   1   1 2           2 0 GND                 (2-5-13)
00-0098                          R3                                13   1      1   1   1 1           1 0 LD_XBLNK            (692-19-13)
00-0098                          R3                                13   1      2   1   1 2           2 0 GND                 (2-5-13)
00-0100                          R4                                21   1      1   1   1 1           1 0 XSIG030176          (692-35-13)
00-0100                          R4                                21   1      2   1   1 2           2 0 GND                 (2-5-13)
00-0100                          R5                                22   1      1   1   1 1           1 0 XSIG030175          (692-34-13)
00-0100                          R5                                22   1      2   1   1 2           2 0 GND                 (2-5-13)
00-0100                          R6                                20   1      1   1   1 1           1 0 XSIG030263          (692-47-13)
00-0100                          R6                                20   1      2   1   1 2           2 0 GND                 (2-5-13)
02-0026                          R17                               44   1      1   1   1 1           1 0 XSIG030229          (692-45-13)
02-0026                          R17                               44   1      2   1   1 2           2 0 XSIG030218          (692-43-13)
02-0026                          R18                               43   1      1   1   1 1           1 0 XSIG030281          (692-52-13)
02-0026                          R18                               43   1      2   1   1 2           2 0 XSIG030275          (692-51-13)
02-0083                          R19                               60   1      1   1   1 1           1 0 XSIG040005          (692-65-13)
02-0083                          R19                               60   1      2   1   1 2           2 0 GND                 (2-5-13)
02-0098                          R20                               61   1      1   1   1 1           1 0 HB_EN3              (692-16-13)
02-0098                          R20                               61   1      2   1   1 2           2 0 XSIG030284          (692-53-13)
02-0098                          R21                               63   1      1   1   1 1           1 0 HB_EN1              (692-14-13)
02-0098                          R21                               63   1      2   1   1 2           2 0 XSIG030233          (692-46-13)
02-0098                          R22                               62   1      1   1   1 1           1 0 HB_EN2              (692-15-13)
02-0098                          R22                               62   1      2   1   1 2           2 0 XSIG030153          (692-33-13)
02-0264                          R15                               38   1      1   1   1 1           1 0 LED                 (692-29-13)
02-0264                          R15                               38   1      2   1   1 2           2 0 XSIG020499          (692-28-13)
03-0010                          R7                                27   1      1   1   1 1           1 0 XSIG030181          (692-36-13)
03-0010                          R7                                27   1      2   1   1 2           2 0 XSIG030191          (692-39-13)
03-0010                          R8                                29   1      1   1   1 1           1 0 XSIG030182          (692-37-13)
03-0010                          R8                                29   1      2   1   1 2           2 0 XSIG030192          (692-40-13)
03-0010                          R9                                26   1      1   1   1 1           1 0 XSIG030191          (692-39-13)
03-0010                          R9                                26   1      2   1   1 2           2 0 XSIG030321          (692-54-13)
03-0010                          R10                               28   1      1   1   1 1           1 0 XSIG030192          (692-40-13)
03-0010                          R10                               28   1      2   1   1 2           2 0 XSIG030326          (692-57-13)
03-0010                          R11                               25   1      1   1   1 1           1 0 XSIG030268          (692-48-13)
03-0010                          R11                               25   1      2   1   1 2           2 0 XSIG030334          (692-61-13)
03-0010                          R12                               24   1      1   1   1 1           1 0 XSIG030334          (692-61-13)
03-0010                          R12                               24   1      2   1   1 2           2 0 XSIG030335          (692-62-13)
10-0003                          C15                               42   1      1   1   1 1           1 0 P_VCC               (692-1-13)
10-0003                          C15                               42   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0011                          C18                               57   1      1   1   1 1           1 0 XSIG030218          (692-43-13)
10-0011                          C18                               57   1      2   1   1 2           2 0 XSIG030367          (905-1-13)
10-0011                          C19                               56   1      1   1   1 1           1 0 XSIG030275          (692-51-13)
10-0011                          C19                               56   1      2   1   1 2           2 0 XSIG030274          (692-50-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0014                          C9                                31   1      1   1   1 1           1 0 P_VCC               (692-1-13)
10-0014                          C9                                31   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0014                          C10                               33   1      1   1   1 1           1 0 P_VCC               (692-1-13)
10-0014                          C10                               33   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0014                          C11                               32   1      1   1   1 1           1 0 P_VCC               (692-1-13)
10-0014                          C11                               32   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0014                          C12                               30   1      1   1   1 1           1 0 P_VCC               (692-1-13)
10-0014                          C12                               30   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0026                          C13                               40   1      1   1   1 1           1 0 GND                 (2-5-13)
10-0026                          C13                               40   1      2   1   1 2           2 0 XSIG020285          (71-16-13)
10-0026                          C14                               41   1      1   1   1 1           1 0 GND                 (2-5-13)
10-0026                          C14                               41   1      2   1   1 2           2 0 XSIG020284          (71-15-13)
10-0041                          C16                               53   1      1   1   1 1           1 0 P_VCC               (692-1-13)
10-0041                          C16                               53   1      2   1   1 2           2 0 XSIG030273          (692-49-13)
10-0041                          C17                               54   1      1   1   1 1           1 0 P_VCC               (692-1-13)
10-0041                          C17                               54   1      2   1   1 2           2 0 XSIG030197          (692-41-13)
10-0057                          C4                                17   1      1   1   1 1           1 0 VCC                 (2-6-13)
10-0057                          C4                                17   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0057                          C5                                19   1      1   1   1 1           1 0 VCC                 (2-6-13)
10-0057                          C5                                19   1      2   1   1 2           2 0 GND                 (2-5-13)
10-0057                          C6                                18   1      1   1   1 1           1 0 VCC                 (2-6-13)
