
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0109                          R19                               84   1      1   1   1 1           1 0 ADC_BAT             (1001-65-13)
00-0109                          R19                               84   1      2   1   1 2           2 0 VCC_BAT             (1001-66-13)
01-0289                          R26                              129   1      1   1   1 1           1 0 XSIG040064          (1001-79-13)
01-0289                          R26                              129   1      2   1   1 2           2 0 BOB_IN_1            (1001-78-13)
01-0289                          R27                              128   1      1   1   1 1           1 0 XSIG050212          (1049-11-13)
01-0289                          R27                              128   1      2   1   1 2           2 0 BOB_IN_2            (1049-6-13)
01-0289                          R28                              127   1      1   1   1 1           1 0 XSIG060212          (1049-23-13)
01-0289                          R28                              127   1      2   1   1 2           2 0 BOB_IN_3            (1049-18-13)
01-0357                          R20                              126   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
01-0357                          R20                              126   1      2   1   1 2           2 0 XSIG040039          (1001-74-13)
01-0357                          R21                              125   1      1   1   1 1           1 0 XSIG040039          (1001-74-13)
01-0357                          R21                              125   1      2   1   1 2           2 0 GND                 (43-1-13)
01-0357                          R22                              124   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
01-0357                          R22                              124   1      2   1   1 2           2 0 XSIG050194          (1049-7-13)
01-0357                          R23                              123   1      1   1   1 1           1 0 XSIG050194          (1049-7-13)
01-0357                          R23                              123   1      2   1   1 2           2 0 GND                 (43-1-13)
01-0357                          R24                              122   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
01-0357                          R24                              122   1      2   1   1 2           2 0 XSIG060194          (1049-19-13)
01-0357                          R25                              121   1      1   1   1 1           1 0 XSIG060194          (1049-19-13)
01-0357                          R25                              121   1      2   1   1 2           2 0 GND                 (43-1-13)
01-0414                          R29                              132   1      1   1   1 1           1 0 LNA_OUT_B_1         (1001-76-13)
01-0414                          R29                              132   1      2   1   1 2           2 0 XSIG040064          (1001-79-13)
01-0414                          R30                              131   1      1   1   1 1           1 0 LNA_OUT_B_2         (1049-9-13)
01-0414                          R30                              131   1      2   1   1 2           2 0 XSIG050212          (1049-11-13)
01-0414                          R31                              130   1      1   1   1 1           1 0 LNA_OUT_B_3         (1049-21-13)
01-0414                          R31                              130   1      2   1   1 2           2 0 XSIG060212          (1049-23-13)
02-0098                          R4                                71   1      1   1   1 1           1 0 ADC_BAT             (1001-65-13)
02-0098                          R4                                71   1      2   1   1 2           2 0 GND                 (43-1-13)
02-0098                          R5                                64   1      1   1   1 1           1 0 VCC                 (43-2-13)
02-0098                          R5                                64   1      2   1   1 2           2 0 CODEC_nRST_1        (1001-36-13)
02-0098                          R6                                66   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
02-0098                          R6                                66   1      2   1   1 2           2 0 XSIG040154          (1049-4-13)
02-0098                          R7                                67   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
02-0098                          R7                                67   1      2   1   1 2           2 0 XSIG040152          (1049-3-13)
02-0098                          R8                                65   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
02-0098                          R8                                65   1      2   1   1 2           2 0 XSIG040156          (1049-5-13)
02-0098                          R9                                68   1      1   1   1 1           1 0 XSIG010408          (1001-16-13)
02-0098                          R9                                68   1      2   1   1 2           2 0 GND                 (43-1-13)
02-0098                          R10                               69   1      1   1   1 1           1 0 XSIG010409          (1001-17-13)
02-0098                          R10                               69   1      2   1   1 2           2 0 GND                 (43-1-13)
02-0098                          R11                               60   1      1   1   1 1           1 0 VCC                 (43-2-13)
02-0098                          R11                               60   1      2   1   1 2           2 0 CODEC_nRST_2        (1001-38-13)
02-0098                          R12                               62   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
02-0098                          R12                               62   1      2   1   1 2           2 0 XSIG050239          (1049-16-13)
02-0098                          R13                               61   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
02-0098                          R13                               61   1      2   1   1 2           2 0 XSIG050238          (1049-15-13)
02-0098                          R14                               63   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
02-0098                          R14                               63   1      2   1   1 2           2 0 XSIG050240          (1049-17-13)
02-0098                          R15                               56   1      1   1   1 1           1 0 VCC                 (43-2-13)
02-0098                          R15                               56   1      2   1   1 2           2 0 CODEC_nRST_3        (1001-40-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
02-0098                          R16                               59   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
02-0098                          R16                               59   1      2   1   1 2           2 0 XSIG060239          (1049-28-13)
02-0098                          R17                               58   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
02-0098                          R17                               58   1      2   1   1 2           2 0 XSIG060238          (1049-27-13)
02-0098                          R18                               57   1      1   1   1 1           1 0 VCC_LNA             (1001-70-13)
02-0098                          R18                               57   1      2   1   1 2           2 0 XSIG060240          (1049-29-13)
02-0098                          R32                               70   1      1   1   1 1           1 0 VCC                 (43-2-13)
02-0098                          R32                               70   1      2   1   1 2           2 0 MPU_INT             (1233-1-13)
02-0264                          R2                                55   1      1   1   1 1           1 0 XSIG020091          (1001-63-13)
02-0264                          R2                                55   1      2   1   1 2           2 0 LED_nRF             (1001-64-13)
02-0264                          R3                                54   1      1   1   1 1           1 0 XSIG010365          (1001-13-13)
02-0264                          R3                                54   1      2   1   1 2           2 0 LED_STM             (1001-14-13)
10-0007                          C25                               75   1      1   1   1 1           1 0 XSIG070018          (1241-2-13)
10-0007                          C25                               75   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0007                          C59                               76   1      1   1   1 1           1 0 VDD_PA              (1001-58-13)
10-0007                          C59                               76   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0011                          C76                              120   1      1   1   1 1           1 0 BOB_OUT_1           (1001-77-13)
10-0011                          C76                              120   1      2   1   1 2           2 0 BOB_IN_1            (1001-78-13)
